headword,CEFR,example_en,translation_ar,example_ar
word,A1,This is a new word.,كلمة,هذه كلمة جديدة.
the,A1,The cat is on the mat.,ال - أداة تعريف,القطة على السجادة.
no,A1,No, I do not want it.,لا,لا، أنا لا أريد ذلك.
home,A1,She is at home now.,بيت,هي في المنزل الآن.
be,A1,I want to be a teacher.,يكون,أريد أن أكون مدرسا.
and,A1,Tea and milk are in the cup.,و,الشاي والحليب في الكأس.
mother,A1,My mother is in the kitchen.,الأم,والدتي في المطبخ.
of,A1,He is afraid of dogs.,من / ل,إنه يخاف من الكلاب.
help,A1,Please help me.,يساعد,الرجاء مساعدتي.
start,A1,School will start at nine.,يبدأ,ستبدأ المدرسة في الساعة التاسعة.
water,A1,I drink water.,ماء,أنا أشرب الماء.
to,A1,Go to school now.,ل / إلى,اذهب إلى المدرسة الآن.
man,A1,The man is tall.,رجل,الرجل طويل القامة.
have,A1,I have a pen.,يملك,لدي قلم.
I,A1,I like apples.,أنا,أنا أحب التفاح.
you,A1,You are happy.,أنت,أنت سعيد.
he,A1,He is my brother.,هو,إنه أخي.
with,A1,She is with her friend.,مع,هي مع صديقتها.
do,A1,Do your work.,يفعل,قم بعملك.
this,A1,This is my book.,هذا,هذا هو كتابي.
day,A1,She has a good day.,يوم,لديها يوم جيد.
they,A1,They are children.,هم,إنهم أطفال.
at,A1,Meet me at six.,في,قابلني في السادسة.
family,A1,My family is big.,عائلة,عائلتي كبيرة.
but,A1,I like it but I am tired.,لكن,أنا أحب ذلك ولكني متعب.
we,A1,We are friends.,نحن,نحن أصدقاء.
his,A1,His bag is red.,له,حقيبته حمراء.
use,A1,Use the pencil.,يستخدم,استخدم قلم الرصاص.
from,A1,She comes from Spain.,من,انها تأتي من اسبانيا.
not,A1,I do not know.,لا,لا أعلم.
by,A1,Go by bus.,بواسطة,اذهب بالحافلة.
she,A1,She reads a book.,هي,هي تقرأ كتابا.
first,A1,He is first in line.,أولاً,وهو الأول في الصف.
or,A1,Do you want tea or juice?,أو,هل تريد شاي أم عصير؟
what,A1,What is this?,ماذا,ما هذا؟
can,A1,Can you swim?,يستطيع,هل يمكنك السباحة؟
who,A1,Who is that?,من,من ذاك؟
if,A1,Call me if you need me.,لو / إذا,اتصل بي إذا كنت في حاجة لي.
would,A1,I would like water.,كان,أريد الماء.
now,A1,Now I eat.,الآن,الآن أنا آكل.
her,A1,Her cat is small.,لها,قطتها صغيرة .
my,A1,My car is blue.,لي,سيارتي زرقاء.
make,A1,Make a cake.,يصنع,اصنع كعكة.
about,A1,Talk about your day.,عن,تحدث عن يومك.
know,A1,Do you know me?,يعرف,هل تعرفني؟
will,A1,I will go home.,سوف,سأعود إلى المنزل.
up,A1,Look up there.,أعلى,ابحث هناك.
one,A1,I have one apple.,واحد,لدي تفاحة واحدة.
time,A1,Time is money.,وقت,الوقت هو المال.
there,A1,There is a tree.,هناك,هناك شجرة.
year,A1,It is a new year.,سنة,إنها سنة جديدة.
so,A1,I am tired so I sleep.,لذا,أنا متعب لذلك أنام.
think,A1,I think it is good.,يفكر,أعتقد أنه جيد.
when,A1,When is lunch?,متى,متى الغداء؟
which,A1,Which is yours?,أيّ,ما هو لك؟
them,A1,Give it to them.,هم,اعطها لهم.
some,A1,Some people are here.,بعض,بعض الناس هنا.
me,A1,Give it to me.,أنا,أعطها لي.
people,A1,People are waiting.,الناس,الناس ينتظرون.
out,A1,Go out now.,خارج,اخرج الآن.
into,A1,He goes into the room.,داخل,يذهب إلى الغرفة.
just,A1,Just do it.,فقط,افعل ذلك.
see,A1,Can you see me?,يرى,هل بإمكانك رؤيتي؟
him,A1,Call him now.,له,اتصل به الآن.
your,A1,Your bag is here.,لك,حقيبتك هنا.
come,A1,Come here.,يأتي,تعال الى هنا.
could,A1,I could come.,استطاع,يمكنني أن آتي.
than,A1,She is taller than me.,من,إنها أطول مني.
other,A1,Other cars are fast.,آخر,السيارات الأخرى سريعة.
how,A1,How are you?,كيف,كيف حالك؟
then,A1,First eat then sleep.,ثم,تناول الطعام أولاً ثم النوم.
because,A1,I stay because I love it.,لأن,سأبقى لأنني أحب ذلك.
its,A1,The dog wagged its tail., خاصته - له,هز الكلب ذيله.
our,A1,This is our house.,ملكنا,هذا هو منزلنا.
two,A1,They have two cats.,اثنين,لديهم قطتان.
more,A1,I need more time.,أكثر,أحتاج لمزيد من الوقت.
these,A1,These are my shoes.,هؤلاء,هذه هي حذائي.
way,A1,This is the best way.,طريق,هذه هي أفضل طريقة.
look,A1,Look at the sky.,ينظر,انظر إلى السماء.
also,A1,I also like tea.,أيضًا,أنا أيضا أحب الشاي.
new,A1,He has a new phone.,جديد,لديه هاتف جديد.
find,A1,Find the key.,يجد,ابحث عن المفتاح.
here,A1,Come here.,هنا,تعال الى هنا.
thing,A1,That thing is mine.,شيء,هذا الشيء هو لي.
many,A1,Many birds sing.,كثير,العديد من الطيور تغني.
their,A1,Their house is big.,هُم,منزلهم كبير.
well,A1,She plays well.,حسنًا,إنها تلعب بشكل جيد.
only,A1,He is the only child.,فقط,هو الطفل الوحيد.
those,A1,Those are my pens.,أولئك,تلك هي أقلامي.
tell,A1,Please tell me.,يخبر,من فضلك قل لي.
very,A1,She is very kind.,جداً,انها لطيفة جدا.
any,A1,You can pick any.,أي,يمكنك اختيار أي.
woman,A1,The woman is smiling.,امرأة,المرأة تبتسم.
us,A1,Join us please.,إلينا,انضم إلينا من فضلك.
life,A1,Life is good.,حياة,الحياة جيدة.
child,A1,The child laughs.,طفل,الطفل يضحك.
work,A1,They work hard.,عمل,إنهم يعملون بجد.
may,A1,May I sit here?,يمكن,هل يمكنني الجلوس هنا؟
should,A1,You should drink water.,يجب,يجب عليك شرب الماء.
call,A1,Call me when you arrive.,يتصل,اتصل بي عند وصولك.
world,A1,They saw the world map.,عالم,لقد رأوا خريطة العالم.
school,A1,The children go to school.,مدرسة,يذهب الأطفال إلى المدرسة.
try,A1,I try my best.,يحاول,أنا أبذل قصارى جهدي.
need,A1,I need water.,يحتاج,انا بحاجة الى الماء.
too,A1,It is too late.,أيضاً,لقد فات الأوان.
on,A1,Put it on the table.,على,ضعها على الطاولة.
three,A1,We have three apples.,ثلاثة,لدينا ثلاث تفاحات.
never,A1,I never eat meat.,أبداً,أنا لا آكل اللحوم أبدا.
become,A1,She will become a teacher.,يصبح,سوف تصبح معلمة.
between,A1,He sat between two friends.,بين,كان يجلس بين صديقين.
high,A1,The bird flew high.,عالي,طار الطائر عاليا.
really,A1,I really like it.,حقًا,أنا حقا أحب ذلك.
something,A1,I want something to eat.,شئ ما,أريد شيئا للأكل.
most,A1,She is the most tall.,الأكثر,هي الأطول.
another,A1,I want another apple.,آخر,أريد تفاحة أخرى.
much,A1,He did not have much time.,كثيراً,لم يكن لديه الكثير من الوقت.
own,A1,They own a car.,ملك,لديهم سيارة.
put,A1,Please put it here.,يضع,من فضلك ضعه هنا.
old,A1,He lives in an old house.,قديم,يعيش في منزل قديم.
mean,A1,What does that mean?,يقصد,ماذا يعني ذلك؟
keep,A1,Keep the door closed.,يحفظ,أبقِ الباب مغلقًا.
student,A1,The student reads a book.,طالب,يقرأ الطالب كتابا.
why,A1,Why are you late?,لماذا,لماذا تأخرت؟
let,A1,Let me help you.,دع / يسمح,دعني أساعدك.
great,A1,They had a great day.,عظيم,لقد قضوا يوما عظيما.
same,A1,We wore the same shirt.,نفس,لقد ارتدينا نفس القميص.
big,A1,He has a big dog.,كبير,لديه كلب كبير.
group,A1,They are in a group.,مجموعة,هم في مجموعة.
begin,A1,Let's begin now.,يبدأ,لنبدأ الآن.
where,A1,Where is the car?,أين,أين السيارة؟
turn,A1,Turn left here.,دور,انعطف يسارًا هنا.
problem,A1,They fix the problem.,مشكلة,يقومون بإصلاح المشكلة.
every,A1,Every day is sunny.,كل,كل يوم مشمس.
hand,A1,She raised her hand.,يد,رفعت يدها.
place,A1,This is my place.,مكان,هذا هو مكاني.
again,A1,Please say it again.,مرة أخرى,من فضلك قل ذلك مرة أخرى.
case,A1,He opened the case.,قضية,فتح القضية.
week,A1,She works every week.,أسبوع,إنها تعمل كل أسبوع.
each,A1,Each child has a toy.,كل,كل طفل لديه لعبة.
right,A1,Turn right now.,يمين,اتجه لليمين الآن.
hear,A1,Can you hear me?,يسمع,أيمكنك سماعي؟
question,A1,Ask me a question.,سؤال,اسألني سؤال.
play,A1,They play in the park.,يلعب,يلعبون في الحديقة.
run,A1,He can run fast.,يجري,يمكنه الركض بسرعة.
small,A1,She has a small cat.,صغير,لديها قطة صغيرة.
number,A1,He knows the number ten.,رقم,وهو يعرف الرقم عشرة.
off,A1,Turn off the light.,إيقاف تشغيل,أطفئ الضوء.
always,A1,He always smiles.,دائماً,يبتسم دائما.
move,A1,They move the box.,يتحرك,يقومون بتحريك الصندوق.
night,A1,They sleep at night.,ليلة,ينامون في الليل.
point,A1,Point to the door.,نقطة,أشر إلى الباب.
believe,A1,I believe you.,يعتقد / يصدق,أصدقك
today,A1,We leave today.,اليوم,نغادر اليوم.
bring,A1,Bring your pencil.,يحضر,أحضر قلمك الرصاص.
happen,A1,What will happen?,يحدث,ماذا سيحدث؟
before,A1,Wash hands before eating.,قبل,غسل اليدين قبل الأكل.
large,A1,They live in a large house.,كبير,إنهم يعيشون في منزل كبير.
